Date,TZERO
2023-10-19,3136208.013640656175
2023-10-20,1502781.797970881829
2023-10-21,750874.92925001264
2023-10-22,828822.505162453689
2023-10-23,1521312.148001241882
2023-10-24,843579.088694307202
2023-10-25,569751.381480427575
2023-10-26,1912684.764775078708
2023-10-27,732957.739215498652
2023-10-28,1010611.868918136961
2023-10-29,913679.785126021932
2023-10-30,3081389.914066062347
2023-10-31,1054668.161380050997
2023-11-01,783285.223123329353
2023-11-02,1052091.644305255941
2023-11-03,1471033.376132275598
2023-11-04,403180.4084596015
2023-11-05,515087.9097730425
2023-11-06,2836724.093614016025
2023-11-07,1922668.79220569805
2023-11-08,485157.893377812988
2023-11-09,617006.060440013991
2023-11-10,844253.478757489891
2023-11-11,1477484.350280013488
2023-11-12,1005157.006175354525
2023-11-13,1554663.835280011997
2023-11-14,1428029.485584371985
2023-11-15,562245.9980000105
2023-11-16,465759.093720010992
2023-11-17,929205.798168400849
2023-11-18,434422.906920003994
2023-11-19,2550695.974800004498
2023-11-20,1199355.501551117605
2023-11-21,1083955.282679008032
2023-11-22,845203.475697660979
2023-11-23,2523906.543464453652
2023-11-24,1363984.056932130441
2023-11-25,2355890.793910760029
2023-11-26,2537342.454461130037
2023-11-27,1886885.512100144805
2023-11-28,2025959.411879181587
2023-11-29,1037589.528963360808
2023-11-30,30037665.468475471977
2023-12-01,14397470.625713298676
2023-12-02,11604335.507840261889
2023-12-03,4389337.344169142083
2023-12-04,3351592.709581422434
2023-12-05,2472729.054632227802
2023-12-06,2736015.748477866743
2023-12-07,1854558.524423282333
2023-12-08,1734440.818103921395
2023-12-09,1101900.702302522613
2023-12-10,2612867.931760061493
2023-12-11,1779016.357985087932
2023-12-12,2004591.539467410469
2023-12-13,2218269.27853933464
2023-12-14,2540091.776164842637
2023-12-15,2071907.36101389425
2023-12-16,1171093.892045595406
2023-12-17,1001242.128476672958
2023-12-18,1657008.791562125738
2023-12-19,46711267.962016646193
2023-12-20,11690811.772640164961
2023-12-21,39050932.233975853734
2023-12-22,22487516.884299646184
2023-12-23,24888469.934150096573
2023-12-24,26372263.479315193952
2023-12-25,56454348.193989974771
2023-12-26,52886469.570567791712
2023-12-27,86546286.699299903791
2023-12-28,95243393.038354704547
2023-12-29,48547335.140396420013
2023-12-30,45702441.059749149816
2023-12-31,26945564.060461678244
2024-01-01,41531031.854712472442
2024-01-02,50884346.452999311482
2024-01-03,79225059.116123584684
2024-01-04,81969294.594883537548
2024-01-05,71950812.744764849278
2024-01-06,50157164.810754854749
2024-01-07,66026786.832653446767
2024-01-08,84314748.818573426578
2024-01-09,57251911.492813830196
2024-01-10,44198423.439011263385
2024-01-11,57422537.173750552101
2024-01-12,108413459.110485680235
2024-01-13,69154286.292544295286
2024-01-14,64333387.741802291012
2024-01-15,61652149.010654503068
2024-01-16,43935753.354026288687
2024-01-17,52779039.73006789645
2024-01-18,35843921.218033416407
2024-01-19,35230787.824235455152
2024-01-20,23998469.999580067167
2024-01-21,33594800.639236360036
2024-01-22,58770813.969678077243
2024-01-23,100646213.801128348292
2024-01-24,32337408.828125501505
2024-01-25,31470482.533742075372
2024-01-26,61086325.636264844194
2024-01-27,22838853.151650621847
2024-01-28,37756075.416345735198
2024-01-29,14455693.669896795914
2024-01-30,22726670.037235609466
2024-01-31,60184346.553643710735
2024-02-01,10379792.370404723402
2024-02-02,13639638.308002573507
2024-02-03,28328996.489401519315
2024-02-04,39711054.465155165866
2024-02-05,29528521.994511692417
2024-02-06,12831837.50024424571
2024-02-07,13137684.233313495132
2024-02-08,23956377.258216338262
2024-02-09,166251905.444989659664
2024-02-10,32988535.396667915308
2024-02-11,28270517.049026821727
2024-02-12,13406518.775975460718
2024-02-13,38310744.105983453342
2024-02-14,20397828.389908498332
2024-02-15,43525296.180364177124
2024-02-16,11942299.770087550546
2024-02-17,16929149.340590880749
2024-02-18,22770077.31202067965
