Validator,Self-Bonded(AZERO),Total Bonded(AZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5EHhWZ8BqMoKdaNYGbTvCJgEoq59Ve1g1ij92YbqcBRsLL1D,"25,000","25,000",0,5.00%,0,38710,91000764
5H4FbsDqPVqjbo5Mh8aFFfDhXjzCvJpVe7EvVS1LYHyfhPKf,"25,000","25,000",0,5.00%,0,38710,91001671
5GCccwqh1PuXvshDe4bAAJrstZxbHX2u66hK3UAR6hxbFbha,"25,000","25,000",0,5.00%,0,38710,91004113
5GCLDdsjA48uRXnVzSjTMUwBJNJBpfxzt3BbXH7fK1z46fxg,"25,000","25,000",0,5.00%,0,38710,91004078
5FxfS4LqBAC4LxpDJp3UB6nxDZ9hULTzvtDe8Hriwdz3Y8GG,"25,000","25,000",0,5.00%,0,38710,91003482
5DyyaxFRbRhSoTPUakMozkKfs7umRU894ZKEhdkrbVqAG1J1,"25,000","25,000",0,5.00%,0,38710,91002568
5D9k3ZTxyGLcWURE1pPeLvydbZghnvS4jzFSVJQzh49YQXrd,"25,000","25,000",0,5.00%,0,38710,91004076
5CFteh4v9fDMVXKDyBhA3iGvXryzoSB8RTYgCEVQLFkWwgJX,"25,000","25,000",0,5.00%,0,38710,91003455
5ELuPmR4Y6WLSw3y8DcGDKEQTTzRrxw5TFjmDj4axpnFZEEM,"25,000","25,000",0,5.00%,0,38710,91004096
5Ge5AJmh6g2td7RpF8yXa8jzB5Zz28GQmquuTUBSaVZewtnB,"25,000","25,000",0,5.00%,0,38710,91004094
5EvJWUqWMxPH5Db6833QANoQh76NvLLu6ih27yXawvTCe4XM,"25,000","25,000",0,5.00%,0,38710,91000777
5DF6SpA4846ZE3CMJYYQs61ybpV8RXHR4RRe8cZiFgJE5Tb9,"25,000","25,000",0,5.00%,0,38710,91004110
5Ev9uGdBjdukHRNTiVm1B94JsduVLTbqsHN9PzG2WJGZmENS,"25,000","25,000",0,5.00%,0,38710,91004091
5ES27zTAJJ2V7NkZS5FdxiwHXtyGrCg2ZfLMUCNHZehtLcnE,"25,000","25,000",0,5.00%,0,38710,91004106
5FCa1rb7C3djd2vegUZ5bH8RS7jkqQuLXqkxbtmG8Eg3Xsr4,"25,000","25,000",0,5.00%,0,38710,91001679
5Ebqb9czFEk4cEh4NWwbRurn26Y8JDT5fnTSSUaEGnibxcVe,"25,000","25,000",0,5.00%,0,38710,91002586
